Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
223854625,Book of Lives: A Memoir of Sorts,Margaret Atwood,"Atwood, Margaret",,"=""038554751X""","=""9780385547512""",0,Doubleday,Hardcover,602,2025,2025,,2026/03/12,to-read,to-read (#79),to-read,,,,0,0
242603763,O Essencial Sobre a Descolonização Portuguesa,António Duarte Silva,"Silva, António Duarte",,"=""9722733141""","=""9789722733144""",0,Imprensa Nacional - Casa da Moeda,Paperback,128,2025,,,2026/03/11,currently-reading,currently-reading (#1),currently-reading,,,,1,0
6740506,Fernão Capelo Gaivota,Richard Bach,"Bach, Richard",,"=""9721030031""","=""9789721030039""",0,Europa-América,Paperback,96,1996,1970,2026/02/27,2026/02/25,,,read,,,,1,0
34454589,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""1328879941""","=""9781328879943""",5,Houghton Mifflin Harcourt,Hardcover,320,2017,1985,2026/02/24,2026/02/02,,,read,,,,1,0
15929764,What Are You Looking At?: 150 Years of Modern Art in a Nutshell,Will Gompertz,"Gompertz, Will",,"=""0670920495""","=""9780670920495""",0,Viking,Hardcover,435,2012,2012,,2026/02/13,to-read,to-read (#78),to-read,,,,0,0
2190195,The Language of Fear: Stories,Del James,"James, Del",,"=""0440217121""","=""9780440217121""",0,Dell,Mass Market Paperback,368,1995,1995,,2026/02/12,to-read,to-read (#77),to-read,,,,0,0
222476092,How to Kill a Witch: The Patriarchy's Guide to Silencing Women,Zoe Venditozzi,"Venditozzi, Zoe",Claire   Mitchell,"=""1464241228""","=""9781464241222""",0,Sourcebooks,Hardcover,320,2025,2025,,2026/01/26,to-read,to-read (#76),to-read,,,,0,0
327335,As Intermitências da Morte,José Saramago,"Saramago, José",,"=""9722117386""","=""9789722117388""",5,Editorial Caminho,Paperback,214,2005,2005,2026/01/22,2025/12/26,,,read,,,,1,0
241379386,A malcriada,Beatrice Salvioni,"Salvioni, Beatrice",Ana Cláudia Santos,"=""9895894023""","=""9789895894024""",0,Alfaguara Portugal,Kindle Edition,480,2025,2024,,2026/01/02,to-read,to-read (#75),to-read,,,,0,0
197798168,All Fours,Miranda July,"July, Miranda",,"=""0593190262""","=""9780593190265""",0,Riverhead Books,Hardcover,336,2024,2024,,2025/12/27,to-read,to-read (#74),to-read,,,,0,0
879188,Memorial do Convento,José Saramago,"Saramago, José",,"=""""","=""""",0,Editorial Caminho,Paperback,376,2006,1982,,2025/12/26,,,read,,,,1,0
48564330,Betty,Tiffany   McDaniel,"McDaniel, Tiffany",,"=""052565707X""","=""9780525657071""",0,Knopf,Hardcover,480,2020,2020,,2025/12/26,to-read,to-read (#73),to-read,,,,0,0
210373324,A Language of Limbs,Dylin Hardcastle,"Hardcastle, Dylin",Sophie Hardcastle,"=""1761562428""","=""9781761562426""",0,Picador Australia,Kindle Edition,277,2024,2024,,2025/12/24,to-read,to-read (#72),to-read,,,,0,0
213975223,O Caderno Proibido,Alba de Céspedes,"Céspedes, Alba de",Ana Cláudia Santos,"=""9897872310""","=""9789897872310""",5,Alfaguara,Paperback,294,2024,1952,2025/12/24,2025/04/04,,,read,,,,1,0
195430687,Blue Sisters,Coco Mellors,"Mellors, Coco",,"=""0593723767""","=""9780593723760""",4,Ballantine Books,Hardcover,352,2024,2024,2025/12/01,2024/09/02,,,read,,,,1,0
60913117,Bessborough: Three Women. Three Decades. Three Stories of Courage.,Deirdre Finnerty,"Finnerty, Deirdre",,"=""""","=""""",0,Hachette Books Ireland,Kindle Edition,265,2022,2022,,2025/10/31,to-read,to-read (#71),to-read,,,,0,0
53845051,Radium Girls,Cy.,"Cy., Cy.",,"=""2344033440""","=""9782344033449""",0,Glénat,Hardcover,136,2020,2020,,2025/10/31,to-read,to-read (#70),to-read,,,,0,0
208579942,"Um Dedo Borrado de Tinta, Histórias de Quem Não Pôde Aprender a Ler",Catarina  Gomes,"Gomes, Catarina",,"=""9899153508""","=""9789899153509""",4,Fundação Francisco Manuel dos Santos,Kindle Edition,87,2024,2024,2025/10/13,2025/01/15,,,read,,,,1,0
208877363,A Desobediente: Biografia de Maria Teresa Horta,Patrícia Reis,"Reis, Patrícia",,"=""9896663564""","=""9789896663568""",4,Contraponto Editores,Paperback,424,2024,,2025/09/30,2024/12/10,,,read,,,,1,0
12971382,O Retorno,Dulce Maria Cardoso,"Cardoso, Dulce Maria",,"=""""","=""9788565500012""",5,Edições Tinta-da-China Brasil,Hardcover,271,2013,2012,2025/10/10,2024/01/04,,,read,,,,1,0
234905201,Educação da tristeza,Valter Hugo Mãe,"Mãe, Valter Hugo",,"=""972005591X""","=""9789720055910""",0,Porto Editora,Paperback,192,2025,2025,,2025/10/03,to-read,to-read (#69),to-read,,,,0,0
7512097,O Pequeno Livro do Grande Terramoto: Ensaio sobre 1755,Rui Tavares,"Tavares, Rui",,"=""9728955014""","=""9789728955014""",4,Edições Tinta-da-China,Paperback,224,2009,2005,,2025/06/26,,,read,,,,2,0
40494738,Furriel não é nome de pai - Os filhos que os militares portugueses deixaram na guerra colonial,Catarina  Gomes,"Gomes, Catarina",,"=""9896714363""","=""9789896714369""",5,Tinta da China,Paperback,236,2018,2018,2025/07/22,2025/01/15,,,read,,,,1,0
56301206,The Story of Art Without Men,Katy Hessel,"Hessel, Katy",,"=""1788167406""","=""9781788167406""",0,Profile Books,Hardcover,352,2022,2022,,2025/07/18,to-read,to-read (#68),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",5,"Little, Brown and Company",Hardcover,393,2018,2018,2024/04/05,2023/12/23,,,read,,,,1,0
3143104,O Principezinho,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Joana Morais Varela,"=""9722328298""","=""9789722328296""",5,Editorial Presença,Paperback,96,2009,1943,,2022/01/21,favorites,favorites (#4),read,,,,1,0
2531634,Cemitério de Pianos,José Luís Peixoto,"Peixoto, José Luís",,"=""9722515349""","=""9789722515344""",5,Bertrand,Paperback,315,2006,2006,,2022/01/21,favorites,favorites (#3),read,,,,1,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,Penguin Random House ,Paperback,331,2012,2011,,2023/11/01,favorites,favorites (#2),read,,,,1,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",5,Signet Classics,Mass Market Paperback,449,2004,1868,2024/08/04,2022/01/21,favorites,favorites (#1),read,,,,1,0
43226692,A Natureza da Mordida,Carla Madeira,"Madeira, Carla",,"=""9788566256""","=""9788566256352""",5,Quixote+Do,Paperback,268,2018,2018,2025/06/17,2025/06/01,,,read,,,,1,0
28501524,A Room of One's Own and Three Guineas,Virginia Woolf,"Woolf, Virginia",,"=""1784870870""","=""9781784870874""",4,Vintage Classics,Paperback,272,2016,1938,2025/05/31,2025/05/02,,,read,,,,1,0
61278539,Ejaculate Responsibly: A Whole New Way to Think About Abortion,Gabrielle Stanley Blair,"Blair, Gabrielle Stanley",,"=""1523523182""","=""9781523523184""",2,Workman Publishing Company,Paperback,137,2022,2022,2025/04/21,2025/04/14,,,read,,,,1,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,Knopf,Hardcover,331,2024,2024,,2025/05/04,to-read,to-read (#67),to-read,,,,0,0
159604,Woman at Point Zero,Nawal El Saadawi,"Saadawi, Nawal El",Sherif Hetata,"=""""","=""""",0,Zed Books,Paperback,108,1990,1975,,2025/05/03,to-read,to-read (#66),to-read,,,,0,0
61842212,Soldier Sailor,Claire Kilroy,"Kilroy, Claire",,"=""""","=""""",0,Faber & Faber,ebook,256,2023,2023,,2025/05/02,to-read,to-read (#65),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,Random House,Hardcover,352,2018,2018,,2025/04/30,to-read,to-read (#64),to-read,,,,0,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",5,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,2025/04/14,2024/09/02,,,read,"A book about the relationship of two brothers while grieving their father’s death. And, of course, about how they navigate romantic relationships (it’s Sally Rooney, what else could we expect?).<br/><br/>Maybe the book touched me in a special way because I recently saw a person very close to me lose their father and was trying to understand their feelings through the characters (and trying to put myself in their position).<br/><br/>A very well written and touching book. My favorite one from the author so far.<br/>",,,1,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",0,Transit Books,Paperback,173,2022,1995,,2025/02/28,to-read,to-read (#63),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",4,Atria Books,Hardcover,389,2017,2017,2025/02/20,2022/01/21,,,read,,,,1,0
24100,The Golden Notebook,Doris Lessing,"Lessing, Doris",,"=""006093140X""","=""9780060931407""",0,Harper Perennial Modern Classics,Paperback,640,1999,1962,,2025/02/05,to-read,to-read (#62),to-read,,,,0,0
23551324,Um Quarto Só Para Si,Virginia Woolf,"Woolf, Virginia",,"=""972708852X""","=""9789727088522""",0,Relógio D'Água Editores,Paperback,162,2007,1929,,2025/02/04,to-read,to-read (#61),to-read,,,,0,0
9938267,Novas Cartas Portuguesas,Maria Isabel Barreno,"Barreno, Maria Isabel","Maria Velho da Costa, Maria Teresa Horta, Ana Luísa Amaral","=""9722040111""","=""9789722040112""",0,Publicações Dom Quixote,Paperback,415,2010,1972,,2025/02/04,to-read,to-read (#60),to-read,,,,0,0
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon","=""0192840398""","=""9780192840394""",4,Oxford University Press,Paperback,329,2004,1856,2025/01/22,2024/12/23,,,read,,,,1,0
212620353,Melhor não contar,Tatiana Salem Levy,"Levy, Tatiana Salem",,"=""6556926027""","=""9786556926025""",0,Todavia,Kindle Edition,243,2024,2024,,2025/01/16,to-read,to-read (#59),to-read,,,,0,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,Harper,Hardcover,560,2022,2022,,2025/01/15,to-read,to-read (#58),to-read,,,,0,0
51777543,Data Feminism,Catherine D’Ignazio,"D’Ignazio, Catherine",Lauren F. Klein,"=""0262044005""","=""9780262044004""",0,MIT Press,Hardcover,328,2020,2020,,2025/01/09,to-read,to-read (#57),to-read,,,,0,0
33098885,Frida Kahlo: Una biografía,María Hesse,"Hesse, María",,"=""8426403433""","=""9788426403438""",4,Lumen,Hardcover,149,2016,2016,2024/05/06,2024/05/05,,,read,,,,1,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",4,Abrams Press,Hardcover,448,2019,2019,2024/07/24,2024/05/21,,,read,,,,1,0
52219386,Almond,Sohn Won-Pyung,"Won-Pyung, Sohn",Joosun Lee,"=""0062961373""","=""9780062961372""",3,HarperVia,Hardcover,272,2020,2017,2024/08/15,2024/07/28,,,read,,,,1,0
78960,Good Wives,Louisa May Alcott,"Alcott, Louisa May",,"=""1419122126""","=""9781419122125""",4,Kessinger ,Paperback,248,2004,1869,2024/12/01,2024/08/04,,,read,,,,1,0
59634120,Small Worlds,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""024157434X""","=""9780241574348""",0,Viking,Paperback,260,2023,2023,,2025/01/01,to-read,to-read (#56),to-read,,,,0,0
55440814,Boys Don't Cry,Fíona Scarlett,"Scarlett, Fíona",,"=""0571365205""","=""9780571365203""",0,Faber Faber,Paperback,0,2021,2021,,2025/01/01,to-read,to-read (#55),to-read,,,,0,0
43263540,For the Love of Men: A New Vision for Mindful Masculinity,Liz Plank,"Plank, Liz",,"=""1250196248""","=""9781250196248""",0,St. Martin's Press,Hardcover,325,2019,2019,,2025/01/01,to-read,to-read (#54),to-read,,,,0,0
220918754,"Direitas Velhas, Direitas Novas",Fernando Rosas,"Rosas, Fernando",,"=""989671889X""","=""9789896718893""",0,Tinta-da-China,Paperback,220,2024,,,2024/12/24,to-read,to-read (#53),to-read,,,,0,0
944103,The Palm-Wine Drinkard,Amos Tutuola,"Tutuola, Amos",,"=""0571049966""","=""9780571049967""",3,Faber and Faber ,Paperback,125,1977,1952,2024/12/22,2024/12/03,,,read,,,,1,0
62039166,The Bee Sting,Paul Murray,"Murray, Paul",,"=""0374600309""","=""9780374600303""",0,"Farrar, Straus and Giroux",Hardcover,645,2023,2023,,2024/12/18,to-read,to-read (#52),to-read,,,,0,0
53301633,A Casa Holandesa,Ann Patchett,"Patchett, Ann",Alessandra Esteche,"=""8551005901""","=""9788551005903""",0,Intrínseca,Hardcover,340,2020,2019,,2024/12/18,to-read,to-read (#51),to-read,,,,0,0
54379300,Apneia,Tânia Ganho,"Ganho, Tânia",,"=""9896608105""","=""9789896608101""",0,Casa das Letras,Paperback,696,2020,2020,,2024/12/18,to-read,to-read (#50),to-read,,,,0,0
43788851,Pretending,Holly Bourne,"Bourne, Holly",,"=""1529312019""","=""9781529312010""",4,Hodder & Stoughton,Hardcover,438,2020,2020,2024/08/11,2022/02/08,,,read,,,,1,0
